symbol,prev_close,open,high,low,close,settlement,net_change,open_interest,volume,trades,underlying_price,notional_value,premium_traded,underlying,expiry,strike,option_type,spread_bps,return,moneyness,days_to_expiry,implied_volatility,date,bid_ask_spread,relative_spread_bps,effective_spread,realized_spread
OPTSTKHINDPETRO30-SEP-2025PE435,49.1,48.75,48.75,48.75,48.75,54.65,5.55,1.0,2025.0,1.0,382.95,979593.75,98718.75,HINDPETRO30,SEP,2025435.0,PE,0.0,-0.007128309572301455,0.0001890704959675329,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKHINDPETRO30-SEP-2025PE439.5,52.7,52.5,52.5,52.5,52.5,58.45,5.75,8.0,16200.0,8.0,382.95,7970400.0,850500.0,HINDPETRO30,SEP,2025439.5,PE,0.0,-0.003795066413662293,0.00018907007590204496,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKHINDPETRO28-AUG-2025CE439.5,0.05,0.05,0.05,0.05,0.05,0.0,0.05,318.0,54675.0,27.0,382.95,24032396.25,2733.75,HINDPETRO28,AUG,2025439.5,CE,0.0,0.0,0.00018907007590204496,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKHINDPETRO28-AUG-2025CE489.5,0.0,0.05,0.05,0.05,0.05,0.0,0.0,98.0,4050.0,2.0,382.95,1982677.5,202.5,HINDPETRO28,AUG,2025489.5,CE,0.0,inf,0.0001890654086333205,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKHINDPETRO28-AUG-2025CE429.5,0.05,0.05,0.05,0.05,0.05,0.05,0.0,229.0,52650.0,26.0,382.95,22615807.5,2632.5,HINDPETRO28,AUG,2025429.5,CE,0.0,0.0,0.00018907100938344188,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKHINDPETRO28-AUG-2025CE479.5,0.0,0.05,0.05,0.05,0.05,0.0,0.0,40.0,4050.0,2.0,382.95,1942177.5,202.5,HINDPETRO28,AUG,2025479.5,CE,0.0,inf,0.00018906634206863115,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKHINDPETRO28-AUG-2025CE430,0.1,0.05,0.05,0.05,0.05,0.0,0.1,56.0,14175.0,7.0,382.95,6095958.75,708.75,HINDPETRO28,AUG,2025430.0,CE,0.0,-0.5,0.00018907096270915312,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKHINDPETRO30-SEP-2025PE440,53.15,52.5,52.5,52.5,52.5,58.85,5.7,2.0,2025.0,1.0,382.95,997312.5,106312.5,HINDPETRO30,SEP,2025440.0,PE,0.0,-0.012229539040451525,0.00018907002922821707,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKHINDPETRO28-AUG-2025CE499.5,0.0,0.05,0.05,0.05,0.05,0.0,0.0,12.0,2025.0,1.0,382.95,1011588.75,101.25,HINDPETRO28,AUG,2025499.5,CE,0.0,inf,0.00018906447520722667,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKHINDPETRO28-AUG-2025PE424.5,34.15,37.0,37.0,37.0,37.0,41.45,7.3,104.0,2025.0,1.0,382.95,934537.5,74925.0,HINDPETRO28,AUG,2025424.5,PE,0.0,0.08345534407027823,0.00018907147612759695,,,2025-08-27,0.0,0.0,0.0,0.0
OPTSTKHINDPETRO28-AUG-2025CE469.5,0.0,0.05,0.05,0.05,0.05,0.0,0.0,174.0,4050.0,2.0,382.95,1901677.5,202.5,HINDPETRO28,AUG,2025469.5,CE,0.0,inf,0.0001890672755131588,,,2025-08-27,0.0,0.0,0.0,0.0
