DATE,EXPIRY,OPEN,HIGH,LOW,CLOSE,LTP,SETTLE PRICE,TOTAL TRADED QUANTITY,MARKET LOT,PREMIUM VALUE,OPEN INTEREST,CHANGE IN OI,SYMBOL,INSTRUMENT_TYPE,YEAR,OPTION TYPE,STRIKE PRICE
2022-01-27,2022-01-27,16995.0,17174.0,16862.0,17097.35,17110.0,17110.15,12034900,50,204595888785.0,3719850.0,-1441000.0,NIFTY,FUTIDX,2022,,
2022-01-25,2022-01-27,17000.0,17309.0,16851.15,17283.45,17263.05,17283.45,13207100,50,226006904397.5,5160850.0,-2413450.0,NIFTY,FUTIDX,2022,,
2022-01-24,2022-01-27,17550.0,17602.95,17011.75,17151.65,17102.3,17151.65,14753850,50,254868817680.0,7574300.0,-788250.0,NIFTY,FUTIDX,2022,,
2022-01-21,2022-01-27,17670.05,17723.15,17502.5,17617.8,17647.9,17617.8,12693250,50,223636715060.0,8362550.0,-258200.0,NIFTY,FUTIDX,2022,,
2022-01-20,2022-01-27,17950.0,17968.7,17694.4,17804.1,17808.0,17804.1,10707100,50,190761589752.5,8620750.0,-596750.0,NIFTY,FUTIDX,2022,,
2022-01-19,2022-01-27,18094.0,18110.0,17906.55,17974.1,17975.5,17974.1,9274950,50,166851322980.0,9217500.0,-517250.0,NIFTY,FUTIDX,2022,,
2022-01-18,2022-01-27,18354.0,18363.5,18100.0,18124.35,18113.7,18124.35,10428300,50,190159545070.0,9734750.0,-445100.0,NIFTY,FUTIDX,2022,,
2022-01-17,2022-01-27,18248.0,18350.0,18234.5,18336.6,18339.9,18336.6,4338600,50,79437336027.5,10179850.0,94950.0,NIFTY,FUTIDX,2022,,
2022-01-14,2022-01-27,18220.6,18320.0,18146.2,18295.0,18282.65,18295.0,6407400,50,116813759102.5,10084900.0,-194250.0,NIFTY,FUTIDX,2022,,
2022-01-13,2022-01-27,18266.0,18303.4,18197.15,18287.25,18289.6,18287.25,6775500,50,123717354525.0,10279150.0,254750.0,NIFTY,FUTIDX,2022,,
2022-01-12,2022-01-27,18199.0,18254.9,18165.5,18241.2,18227.0,18241.2,6107950,50,111242082750.0,10024400.0,12550.0,NIFTY,FUTIDX,2022,,
2022-01-11,2022-01-27,18026.65,18121.0,17994.75,18083.55,18085.05,18083.55,6631400,50,119808049035.0,10011850.0,-564900.0,NIFTY,FUTIDX,2022,,
2022-01-10,2022-01-27,17925.0,18058.3,17905.2,18048.2,18054.95,18048.2,6691700,50,120414668510.0,10576750.0,277250.0,NIFTY,FUTIDX,2022,,
2022-01-07,2022-01-27,17831.1,17949.0,17736.0,17854.3,17855.15,17854.3,8894600,50,158775806112.5,10299500.0,88300.0,NIFTY,FUTIDX,2022,,
2022-01-06,2022-01-27,17830.0,17845.5,17685.65,17788.65,17799.75,17788.65,12000600,50,213206661310.0,10211200.0,-353400.0,NIFTY,FUTIDX,2022,,
2022-01-05,2022-01-27,17840.0,17985.0,17786.0,17960.95,17946.2,17960.95,7920600,50,141753996695.0,10564600.0,25500.0,NIFTY,FUTIDX,2022,,
2022-01-04,2022-01-27,17730.0,17870.8,17632.4,17846.75,17855.15,17846.75,7542550,50,133937253697.5,10539100.0,-92150.0,NIFTY,FUTIDX,2022,,
2022-01-03,2022-01-27,17443.0,17692.35,17410.05,17677.95,17691.9,17677.95,7979000,50,140360806367.5,10631250.0,356800.0,NIFTY,FUTIDX,2022,,
2021-12-31,2022-01-27,17268.0,17448.0,17265.1,17409.95,17420.0,17409.95,6957650,50,121025713177.5,10274450.0,670250.0,NIFTY,FUTIDX,2022,,
2021-12-30,2022-01-27,17249.9,17316.9,17200.0,17267.95,17285.0,17267.95,6360750,50,109921000555.0,9604200.0,2856300.0,NIFTY,FUTIDX,2022,,
