DATE,EXPIRY,OPTION TYPE,STRIKE PRICE,OPEN,HIGH,LOW,CLOSE,LTP,SETTLE PRICE,TOTAL TRADED QUANTITY,MARKET LOT,PREMIUM VALUE,OPEN INTEREST,CHANGE IN OI,SYMBOL,INSTRUMENT_TYPE,YEAR,MONTH,SYMBOL_NAME
2022-05-26,2022-05-26,CE,16000.0,98.2,180.0,10.8,153.05,169.9,16170.15,288239350,50,4627736547940.0,2336850.0,-2005200.0,NIFTY,OPTIDX,2022,5,NIFTY
2022-05-25,2022-05-26,CE,16000.0,211.65,256.85,82.2,98.2,106.5,98.2,70843200,50,1142481683172.5,4342050.0,969200.0,NIFTY,OPTIDX,2022,5,NIFTY
2022-05-24,2022-05-26,CE,16000.0,271.1,303.25,148.05,191.8,200.4,191.8,20018900,50,324594956532.5,3372850.0,430800.0,NIFTY,OPTIDX,2022,5,NIFTY
2022-05-23,2022-05-26,CE,16000.0,350.05,443.75,250.2,269.8,255.15,269.8,8247400,50,134802585967.5,2942050.0,-409050.0,NIFTY,OPTIDX,2022,5,NIFTY
2022-05-20,2022-05-26,CE,16000.0,160.0,361.3,153.0,343.4,360.0,343.4,36340800,50,591218933280.0,3351100.0,-1410200.0,NIFTY,OPTIDX,2022,5,NIFTY
2022-05-19,2022-05-26,CE,16000.0,167.05,182.95,93.05,103.7,108.35,103.7,26524000,50,427600909467.5,4761300.0,2841300.0,NIFTY,OPTIDX,2022,5,NIFTY
2022-05-18,2022-05-26,CE,16000.0,394.55,443.55,310.95,335.6,339.25,335.6,2665450,50,43652289600.0,1920000.0,-146800.0,NIFTY,OPTIDX,2022,5,NIFTY
2022-05-17,2022-05-26,CE,16000.0,176.0,386.85,176.0,376.15,382.8,376.15,7175100,50,116808639907.5,2066800.0,-368050.0,NIFTY,OPTIDX,2022,5,NIFTY
2022-05-16,2022-05-26,CE,16000.0,173.45,237.75,146.8,169.7,175.0,169.7,8411750,50,136190597225.0,2434850.0,354550.0,NIFTY,OPTIDX,2022,5,NIFTY
2022-05-13,2022-05-26,CE,16000.0,223.75,310.7,152.1,164.65,159.6,164.65,13526050,50,219577502740.0,2080300.0,-478950.0,NIFTY,OPTIDX,2022,5,NIFTY
2022-05-12,2022-05-26,CE,16000.0,288.95,367.5,168.6,190.7,196.0,190.7,8663750,50,140484397552.5,2559250.0,1272950.0,NIFTY,OPTIDX,2022,5,NIFTY
2022-05-11,2022-05-26,CE,16000.0,431.5,466.6,296.5,374.95,390.0,374.95,3967850,50,64899964052.5,1286300.0,513350.0,NIFTY,OPTIDX,2022,5,NIFTY
