DATE,EXPIRY,OPTION TYPE,STRIKE PRICE,OPEN,HIGH,LOW,CLOSE,LTP,SETTLE PRICE,TOTAL TRADED QUANTITY,MARKET LOT,PREMIUM VALUE,OPEN INTEREST,CHANGE IN OI,SYMBOL,INSTRUMENT_TYPE,YEAR,MONTH,SYMBOL_NAME
2023-06-27,2023-06-29,CE,18000.0,742.0,821.15,731.35,810.15,812.15,810.15,549300,50,10308250892.5,738150.0,-153550.0,NIFTY,OPTIDX,2023,6,NIFTY
2023-06-26,2023-06-29,CE,18000.0,697.65,746.4,667.0,718.25,718.05,718.25,365300,50,6832128167.5,891700.0,-65200.0,NIFTY,OPTIDX,2023,6,NIFTY
2023-06-23,2023-06-29,CE,18000.0,796.5,796.5,696.9,710.7,704.45,710.7,300100,50,5620630400.0,956900.0,-21450.0,NIFTY,OPTIDX,2023,6,NIFTY
2023-06-22,2023-06-29,CE,18000.0,870.0,919.2,807.0,833.8,840.0,833.8,174200,50,3285345245.0,978350.0,950.0,NIFTY,OPTIDX,2023,6,NIFTY
2023-06-21,2023-06-29,CE,18000.0,894.65,912.45,836.4,899.25,902.1,899.25,81000,50,1529170560.0,977400.0,-18650.0,NIFTY,OPTIDX,2023,6,NIFTY
2023-06-20,2023-06-29,CE,18000.0,821.0,884.95,720.15,872.35,881.0,872.35,130350,50,2449697930.0,996050.0,-4300.0,NIFTY,OPTIDX,2023,6,NIFTY
2023-06-19,2023-06-29,CE,18000.0,950.0,950.05,800.0,847.75,848.95,847.75,139050,50,2622601587.5,1000350.0,-20650.0,NIFTY,OPTIDX,2023,6,NIFTY
2023-06-16,2023-06-29,CE,18000.0,800.0,960.95,797.65,902.95,901.95,902.95,130850,50,2469603217.5,1021000.0,-21900.0,NIFTY,OPTIDX,2023,6,NIFTY
2023-06-15,2023-06-29,CE,18000.0,805.0,869.5,750.0,756.2,753.0,756.2,160700,50,3021262602.5,1042900.0,-41200.0,NIFTY,OPTIDX,2023,6,NIFTY
2023-06-14,2023-06-29,CE,18000.0,810.0,838.0,763.4,825.7,820.0,825.7,109550,50,2060992700.0,1084100.0,-24250.0,NIFTY,OPTIDX,2023,6,NIFTY
2023-06-13,2023-06-29,CE,18000.0,741.4,792.55,741.4,788.8,787.4,788.8,92050,50,1728306575.0,1108350.0,-25000.0,NIFTY,OPTIDX,2023,6,NIFTY
2023-06-12,2023-06-29,CE,18000.0,659.05,722.65,655.0,701.65,702.95,701.65,123100,50,2300485135.0,1133350.0,-7350.0,NIFTY,OPTIDX,2023,6,NIFTY
2023-06-09,2023-06-29,CE,18000.0,743.0,758.0,649.1,657.95,649.55,657.95,248100,50,4637900765.0,1140700.0,-9150.0,NIFTY,OPTIDX,2023,6,NIFTY
