DATE,EXPIRY,OPTION TYPE,STRIKE PRICE,OPEN,HIGH,LOW,CLOSE,LTP,SETTLE PRICE,TOTAL TRADED QUANTITY,MARKET LOT,PREMIUM VALUE,OPEN INTEREST,CHANGE IN OI,SYMBOL,INSTRUMENT_TYPE,YEAR,MONTH,SYMBOL_NAME
2023-05-25,2023-05-25,CE,18000.0,262.45,331.4,202.75,319.5,321.25,18321.15,5813300,50,106133234482.5,1043950.0,-240500.0,NIFTY,OPTIDX,2023,5,NIFTY
2023-05-24,2023-05-25,CE,18000.0,314.15,397.0,270.0,294.15,303.1,294.15,3594450,50,65885814270.0,1284450.0,-215350.0,NIFTY,OPTIDX,2023,5,NIFTY
2023-05-23,2023-05-25,CE,18000.0,375.0,431.6,352.6,367.2,360.1,367.2,1781200,50,32772584212.5,1499800.0,-365750.0,NIFTY,OPTIDX,2023,5,NIFTY
2023-05-22,2023-05-25,CE,18000.0,238.25,359.55,218.6,339.6,333.45,339.6,7318700,50,133966832185.0,1865550.0,-357750.0,NIFTY,OPTIDX,2023,5,NIFTY
2023-05-19,2023-05-25,CE,18000.0,234.85,257.9,143.85,244.35,248.5,244.35,34936300,50,635655080457.5,2223300.0,58950.0,NIFTY,OPTIDX,2023,5,NIFTY
2023-05-18,2023-05-25,CE,18000.0,335.0,341.0,197.2,215.0,216.5,215.0,3499300,50,63872100532.5,2164350.0,189500.0,NIFTY,OPTIDX,2023,5,NIFTY
2023-05-17,2023-05-25,CE,18000.0,348.4,348.8,223.05,262.45,267.0,262.45,2918550,50,53292851045.0,1974850.0,34750.0,NIFTY,OPTIDX,2023,5,NIFTY
2023-05-16,2023-05-25,CE,18000.0,456.55,465.55,343.4,358.9,356.15,358.9,672700,50,12385060497.5,1940100.0,-59450.0,NIFTY,OPTIDX,2023,5,NIFTY
2023-05-15,2023-05-25,CE,18000.0,356.9,494.85,341.55,445.7,436.05,445.7,768250,50,14172435867.5,1999550.0,-157300.0,NIFTY,OPTIDX,2023,5,NIFTY
2023-05-12,2023-05-25,CE,18000.0,405.0,405.0,289.2,374.75,376.5,374.75,1398350,50,25652165857.5,2156850.0,-100050.0,NIFTY,OPTIDX,2023,5,NIFTY
2023-05-11,2023-05-25,CE,18000.0,420.5,432.0,373.6,398.35,403.35,398.35,1028000,50,18919723570.0,2256900.0,-21800.0,NIFTY,OPTIDX,2023,5,NIFTY
