DATE,EXPIRY,OPTION TYPE,STRIKE PRICE,OPEN,HIGH,LOW,CLOSE,LTP,SETTLE PRICE,TOTAL TRADED QUANTITY,MARKET LOT,PREMIUM VALUE,OPEN INTEREST,CHANGE IN OI,SYMBOL,INSTRUMENT_TYPE,YEAR,MONTH,SYMBOL_NAME
2022-07-28,2022-07-28,CE,16000.0,760.95,940.0,745.3,927.45,931.95,16929.6,484800,50,8178382315.0,852450.0,-137600.0,NIFTY,OPTIDX,2022,7,NIFTY
2022-07-27,2022-07-28,CE,16000.0,474.95,669.2,441.6,654.25,660.05,654.25,602750,50,9978158612.5,990050.0,-41800.0,NIFTY,OPTIDX,2022,7,NIFTY
2022-07-26,2022-07-28,CE,16000.0,624.9,624.9,482.5,497.2,483.15,497.2,670700,50,11087952190.0,1031850.0,-66200.0,NIFTY,OPTIDX,2022,7,NIFTY
2022-07-25,2022-07-28,CE,16000.0,678.55,706.85,569.4,633.8,622.0,633.8,545700,50,9073363045.0,1098050.0,-70100.0,NIFTY,OPTIDX,2022,7,NIFTY
2022-07-22,2022-07-28,CE,16000.0,663.15,761.0,621.0,730.6,725.0,730.6,577700,50,9641508340.0,1168150.0,-22200.0,NIFTY,OPTIDX,2022,7,NIFTY
2022-07-21,2022-07-28,CE,16000.0,541.05,630.5,518.7,610.2,628.2,610.2,701150,50,11626694250.0,1190350.0,-118750.0,NIFTY,OPTIDX,2022,7,NIFTY
2022-07-20,2022-07-28,CE,16000.0,510.0,599.25,501.15,537.75,528.0,537.75,981700,50,16253277812.5,1309100.0,-245000.0,NIFTY,OPTIDX,2022,7,NIFTY
2022-07-19,2022-07-28,CE,16000.0,299.05,414.3,293.45,402.5,391.95,402.5,1756450,50,28753236235.0,1554100.0,-138200.0,NIFTY,OPTIDX,2022,7,NIFTY
2022-07-18,2022-07-28,CE,16000.0,289.95,382.0,282.2,372.4,380.0,372.4,3534350,50,57679562162.5,1692300.0,-856550.0,NIFTY,OPTIDX,2022,7,NIFTY
2022-07-15,2022-07-28,CE,16000.0,194.55,240.5,167.1,229.3,236.95,229.3,7685650,50,124516424170.0,2548850.0,202550.0,NIFTY,OPTIDX,2022,7,NIFTY
2022-07-14,2022-07-28,CE,16000.0,225.45,266.15,154.4,181.4,184.0,181.4,7453700,50,120755287597.5,2346300.0,174000.0,NIFTY,OPTIDX,2022,7,NIFTY
2022-07-13,2022-07-28,CE,16000.0,299.95,306.6,211.5,222.8,229.85,222.8,4873450,50,79173632867.5,2172300.0,412250.0,NIFTY,OPTIDX,2022,7,NIFTY
2022-07-12,2022-07-28,CE,16000.0,306.05,320.0,250.0,259.45,253.0,259.45,3582400,50,58354166487.5,1760050.0,162900.0,NIFTY,OPTIDX,2022,7,NIFTY
2022-07-11,2022-07-28,CE,16000.0,270.9,397.55,270.9,357.9,348.4,357.9,1633900,50,26702205080.0,1597150.0,-85500.0,NIFTY,OPTIDX,2022,7,NIFTY
2022-07-08,2022-07-28,CE,16000.0,420.4,425.0,357.7,393.15,396.0,393.15,2576250,50,42228959972.5,1682650.0,-434700.0,NIFTY,OPTIDX,2022,7,NIFTY
2022-07-07,2022-07-28,CE,16000.0,357.95,377.9,313.25,365.95,370.0,365.95,3859500,50,63117324982.5,2117350.0,-113250.0,NIFTY,OPTIDX,2022,7,NIFTY
