DATE,EXPIRY,OPTION TYPE,STRIKE PRICE,OPEN,HIGH,LOW,CLOSE,LTP,SETTLE PRICE,TOTAL TRADED QUANTITY,MARKET LOT,PREMIUM VALUE,OPEN INTEREST,CHANGE IN OI,SYMBOL,INSTRUMENT_TYPE,YEAR,MONTH,SYMBOL_NAME
2021-09-02,2021-09-30,CE,15000.0,2111.25,2250.5,2111.25,2243.6,2250.0,2243.6,16350,50,281137202.5,522275.0,-2950.0,NIFTY,OPTIDX,2021,9,NIFTY
2021-09-01,2021-09-30,CE,15000.0,2158.55,2226.95,2083.9,2098.15,2088.4,2098.15,30300,50,519859265.0,525225.0,-6550.0,NIFTY,OPTIDX,2021,9,NIFTY
2021-09-02,2021-09-30,PE,15000.0,9.55,10.9,9.05,9.6,9.3,9.6,330800,50,4965328245.0,1495600.0,-4275.0,NIFTY,OPTIDX,2021,9,NIFTY
2021-09-01,2021-09-30,PE,15000.0,11.0,11.7,8.6,10.95,10.4,10.95,589450,50,8848089877.5,1499875.0,-8775.0,NIFTY,OPTIDX,2021,9,NIFTY
2021-09-02,2021-09-30,CE,16000.0,1118.95,1267.95,1116.25,1259.9,1267.0,1259.9,83300,50,1434901097.5,630625.0,-17350.0,NIFTY,OPTIDX,2021,9,NIFTY
2021-09-01,2021-09-30,CE,16000.0,1178.3,1249.8,1101.0,1111.75,1107.0,1111.75,80500,50,1382041515.0,647975.0,-12950.0,NIFTY,OPTIDX,2021,9,NIFTY
2021-09-02,2021-09-30,PE,16000.0,24.05,24.1,17.95,18.8,18.25,18.8,923500,50,14794444205.0,2058575.0,-25925.0,NIFTY,OPTIDX,2021,9,NIFTY
2021-09-01,2021-09-30,PE,16000.0,26.45,29.95,23.4,24.0,23.95,24.0,2139600,50,34290693385.0,2084500.0,-307925.0,NIFTY,OPTIDX,2021,9,NIFTY
2021-09-02,2021-09-30,CE,17000.0,264.8,375.0,251.4,368.45,375.0,368.45,2087650,50,36180512680.0,1581025.0,-76900.0,NIFTY,OPTIDX,2021,9,NIFTY
2021-09-01,2021-09-30,CE,17000.0,314.75,392.0,261.05,268.1,264.05,268.1,2664600,50,46134622710.0,1657925.0,-156150.0,NIFTY,OPTIDX,2021,9,NIFTY
2021-09-02,2021-09-30,PE,17000.0,177.45,185.0,119.2,126.15,120.55,126.15,3648700,50,62548778420.0,2729550.0,219300.0,NIFTY,OPTIDX,2021,9,NIFTY
2021-09-01,2021-09-30,PE,17000.0,170.0,190.25,157.95,177.15,180.3,177.15,5236550,50,89946138675.0,2510250.0,323100.0,NIFTY,OPTIDX,2021,9,NIFTY
2021-09-02,2021-09-30,CE,18000.0,16.0,26.0,15.95,25.1,24.95,25.1,1135750,50,20467652775.0,1057075.0,150.0,NIFTY,OPTIDX,2021,9,NIFTY
2021-09-01,2021-09-30,CE,18000.0,23.0,35.2,15.35,16.6,15.9,16.6,1650250,50,29744166645.0,1056925.0,158575.0,NIFTY,OPTIDX,2021,9,NIFTY
2021-09-02,2021-09-30,PE,18000.0,931.85,931.85,765.0,775.8,765.0,775.8,66650,50,1253958325.0,388250.0,12650.0,NIFTY,OPTIDX,2021,9,NIFTY
2021-09-01,2021-09-30,PE,18000.0,865.0,926.55,800.95,907.5,926.25,907.5,91850,50,1733208227.5,375600.0,26000.0,NIFTY,OPTIDX,2021,9,NIFTY
