DATE,EXPIRY,OPTION TYPE,STRIKE PRICE,OPEN,HIGH,LOW,CLOSE,LTP,SETTLE PRICE,TOTAL TRADED QUANTITY,MARKET LOT,PREMIUM VALUE,OPEN INTEREST,CHANGE IN OI,SYMBOL,INSTRUMENT_TYPE,YEAR,MONTH,SYMBOL_NAME
2023-10-26,2023-10-26,CE,18000.0,1037.7,1037.7,841.1,857.7,857.1,18857.25,458100,50,8650140757.5,414150.0,-301000.0,NIFTY,OPTIDX,2023,10,NIFTY
2023-10-25,2023-10-26,CE,18000.0,1338.9,1348.9,1069.45,1125.85,1124.6,1125.85,416200,50,7995919932.5,715150.0,-232050.0,NIFTY,OPTIDX,2023,10,NIFTY
2023-10-23,2023-10-26,CE,18000.0,1526.2,1540.3,1244.4,1263.5,1260.3,1263.5,371100,50,7223465347.5,947200.0,-99900.0,NIFTY,OPTIDX,2023,10,NIFTY
2023-10-20,2023-10-26,CE,18000.0,1550.0,1572.95,1513.2,1525.1,1523.35,1525.1,200800,50,3923265027.5,1047100.0,-68650.0,NIFTY,OPTIDX,2023,10,NIFTY
2023-10-19,2023-10-26,CE,18000.0,1600.0,1664.35,1532.85,1617.3,1615.45,1617.3,176250,50,3455563162.5,1115750.0,-78850.0,NIFTY,OPTIDX,2023,10,NIFTY
2023-10-18,2023-10-26,CE,18000.0,1789.1,1841.25,1663.6,1681.35,1663.6,1681.35,137300,50,2715780550.0,1194600.0,-60650.0,NIFTY,OPTIDX,2023,10,NIFTY
2023-10-17,2023-10-26,CE,18000.0,1817.15,1848.6,1771.45,1806.95,1804.0,1806.95,59150,50,1172802480.0,1255250.0,-35500.0,NIFTY,OPTIDX,2023,10,NIFTY
2023-10-16,2023-10-26,CE,18000.0,1722.0,1794.0,1695.0,1740.05,1730.65,1740.05,53450,50,1056173562.5,1290750.0,-24750.0,NIFTY,OPTIDX,2023,10,NIFTY
2023-10-13,2023-10-26,CE,18000.0,1700.0,1811.6,1688.3,1738.9,1729.5,1738.9,27400,50,540873617.5,1315500.0,-650.0,NIFTY,OPTIDX,2023,10,NIFTY
2023-10-12,2023-10-26,CE,18000.0,1877.0,1877.0,1799.8,1844.4,1839.25,1844.4,21750,50,431717747.5,1316150.0,-4750.0,NIFTY,OPTIDX,2023,10,NIFTY
