DATE,EXPIRY,OPTION TYPE,STRIKE PRICE,OPEN,HIGH,LOW,CLOSE,LTP,SETTLE PRICE,TOTAL TRADED QUANTITY,MARKET LOT,PREMIUM VALUE,OPEN INTEREST,CHANGE IN OI,SYMBOL,INSTRUMENT_TYPE,YEAR,MONTH,SYMBOL_NAME
2021-05-27,2021-05-27,CE,15000.0,370.4,370.4,277.65,333.9,339.75,15337.85,2413425,75,36979874141.25,904875.0,-537225.0,NIFTY,OPTIDX,2021,5,NIFTY
2021-05-21,2021-05-27,CE,15000.0,135.75,270.0,123.65,254.85,268.0,254.85,30627075,75,465090168600.0,2629875.0,-1455525.0,NIFTY,OPTIDX,2021,5,NIFTY
2021-05-20,2021-05-27,CE,15000.0,199.95,199.95,105.0,112.05,112.85,112.05,15314400,75,231794142566.25,4085400.0,1695075.0,NIFTY,OPTIDX,2021,5,NIFTY
2021-04-30,2021-05-27,CE,15000.0,264.65,300.8,205.0,211.1,207.0,211.1,2518725,75,38423833953.75,2198250.0,201900.0,NIFTY,OPTIDX,2021,5,NIFTY
2021-05-27,2021-05-27,PE,15000.0,2.85,2.95,0.05,0.2,0.05,15337.85,36448050,75,546763155123.75,4035000.0,-848700.0,NIFTY,OPTIDX,2021,5,NIFTY
2021-05-21,2021-05-27,PE,15000.0,157.0,157.0,45.0,48.8,45.4,48.8,49136475,75,740880409020.0,4588050.0,1795500.0,NIFTY,OPTIDX,2021,5,NIFTY
2021-05-20,2021-05-27,PE,15000.0,126.4,190.0,113.3,175.55,172.7,175.55,15001125,75,227228430495.0,2792550.0,636600.0,NIFTY,OPTIDX,2021,5,NIFTY
2021-04-30,2021-05-27,PE,15000.0,459.0,539.9,411.3,516.85,539.9,516.85,1353825,75,20934373762.5,900300.0,-156675.0,NIFTY,OPTIDX,2021,5,NIFTY
2021-05-27,2021-05-27,CE,16000.0,0.6,0.6,0.05,0.05,0.05,15337.85,6575400,75,105208051248.75,2333100.0,-588150.0,NIFTY,OPTIDX,2021,5,NIFTY
2021-05-21,2021-05-27,CE,16000.0,2.25,2.25,1.35,1.75,1.65,1.75,8466900,75,135484956577.5,3241125.0,498150.0,NIFTY,OPTIDX,2021,5,NIFTY
2021-05-20,2021-05-27,CE,16000.0,3.5,4.0,1.9,2.55,2.1,2.55,3125325,75,50013102611.25,2742975.0,1047825.0,NIFTY,OPTIDX,2021,5,NIFTY
2021-04-30,2021-05-27,CE,16000.0,28.0,31.95,15.7,16.55,16.75,16.55,1738425,75,27850927597.5,1326750.0,233250.0,NIFTY,OPTIDX,2021,5,NIFTY
2021-05-27,2021-05-27,PE,16000.0,685.0,721.0,637.5,665.45,661.9,15337.85,168075,75,2803415775.0,120900.0,-39225.0,NIFTY,OPTIDX,2021,5,NIFTY
2021-05-21,2021-05-27,PE,16000.0,975.0,1004.1,782.0,795.9,782.0,795.9,34500,75,582149392.5,274275.0,-21075.0,NIFTY,OPTIDX,2021,5,NIFTY
2021-05-20,2021-05-27,PE,16000.0,922.0,1085.0,922.0,1060.8,1057.9,1060.8,82875,75,1408216173.75,295350.0,17325.0,NIFTY,OPTIDX,2021,5,NIFTY
2021-04-30,2021-05-27,PE,16000.0,1225.8,1343.55,1130.0,1313.8,1343.55,1313.8,49275,75,847158015.0,341775.0,4875.0,NIFTY,OPTIDX,2021,5,NIFTY
