DATE,EXPIRY,OPTION TYPE,STRIKE PRICE,OPEN,HIGH,LOW,CLOSE,LTP,SETTLE PRICE,TOTAL TRADED QUANTITY,MARKET LOT,PREMIUM VALUE,OPEN INTEREST,CHANGE IN OI,SYMBOL,INSTRUMENT_TYPE,YEAR,MONTH,SYMBOL_NAME
2024-08-29,2024-08-29,CE,21000.0,4044.05,4210.7,3990.1,4170.95,4158.4,25151.95,163850,25,4115364027.5,210150.0,-49675.0,NIFTY,OPTIDX,2024,8,NIFTY
2024-08-28,2024-08-29,CE,21000.0,3995.55,4150.5,3994.3,4047.95,4056.7,4047.95,87825,25,2204122227.5,259825.0,-60800.0,NIFTY,OPTIDX,2024,8,NIFTY
2024-08-27,2024-08-29,CE,21000.0,4039.5,4091.85,3989.0,4019.1,4005.95,4019.1,50850,25,1273828831.25,320625.0,-41850.0,NIFTY,OPTIDX,2024,8,NIFTY
2024-08-26,2024-08-29,CE,21000.0,3900.0,4070.0,3900.0,4042.6,4047.25,4042.6,71025,25,1778497565.0,362475.0,-36375.0,NIFTY,OPTIDX,2024,8,NIFTY
2024-08-23,2024-08-29,CE,21000.0,3812.0,3875.0,3792.5,3838.55,3861.2,3838.55,17300,25,429870373.75,398850.0,-12875.0,NIFTY,OPTIDX,2024,8,NIFTY
2024-08-22,2024-08-29,CE,21000.0,3828.25,3865.0,3811.0,3836.0,3831.5,3836.0,14625,25,363358600.0,411725.0,-7275.0,NIFTY,OPTIDX,2024,8,NIFTY
2024-08-21,2024-08-29,CE,21000.0,3715.0,3799.55,3685.0,3790.8,3788.05,3790.8,22425,25,554898032.5,419000.0,2150.0,NIFTY,OPTIDX,2024,8,NIFTY
2024-08-20,2024-08-29,CE,21000.0,3630.0,3755.0,3619.25,3709.15,3706.9,3709.15,22750,25,562047122.5,416850.0,-13250.0,NIFTY,OPTIDX,2024,8,NIFTY
2024-08-19,2024-08-29,CE,21000.0,3632.95,3633.65,3530.0,3581.8,3580.9,3581.8,10175,25,250170968.75,430100.0,-7975.0,NIFTY,OPTIDX,2024,8,NIFTY
2024-08-16,2024-08-29,CE,21000.0,3371.8,3596.05,3235.0,3576.75,3589.95,3576.75,40500,25,990178947.5,438075.0,-27450.0,NIFTY,OPTIDX,2024,8,NIFTY
2024-08-14,2024-08-29,CE,21000.0,3142.1,3216.0,3120.0,3159.65,3157.0,3159.65,9750,25,235646523.75,465525.0,-2750.0,NIFTY,OPTIDX,2024,8,NIFTY
2024-08-13,2024-08-29,CE,21000.0,3343.65,3365.2,3115.0,3155.0,3144.0,3155.0,3400,25,82470433.75,468275.0,-2200.0,NIFTY,OPTIDX,2024,8,NIFTY
2024-08-12,2024-08-29,CE,21000.0,3360.0,3500.05,3265.0,3348.9,3350.0,3348.9,17425,25,425112766.25,470475.0,-11150.0,NIFTY,OPTIDX,2024,8,NIFTY
2024-08-09,2024-08-29,CE,21000.0,3365.0,3426.25,3332.5,3385.6,3383.5,3385.6,24675,25,601556938.75,481625.0,-18525.0,NIFTY,OPTIDX,2024,8,NIFTY
2024-08-08,2024-08-29,CE,21000.0,3260.0,3345.1,3094.0,3125.25,3102.4,3125.25,34400,25,834888652.5,500150.0,-28350.0,NIFTY,OPTIDX,2024,8,NIFTY
2024-08-07,2024-08-29,CE,21000.0,3288.15,3357.95,3201.4,3348.75,3351.05,3348.75,13000,25,315800687.5,528500.0,2700.0,NIFTY,OPTIDX,2024,8,NIFTY
2024-08-06,2024-08-29,CE,21000.0,3286.9,3373.95,3000.0,3044.65,3074.2,3044.65,17700,25,428531903.75,525800.0,-7575.0,NIFTY,OPTIDX,2024,8,NIFTY
2024-08-05,2024-08-29,CE,21000.0,3400.0,3400.0,2951.65,3103.15,3086.95,3103.15,124200,25,2994776805.0,533375.0,-18375.0,NIFTY,OPTIDX,2024,8,NIFTY
2024-08-02,2024-08-29,CE,21000.0,3800.0,3840.0,3640.0,3685.45,3670.75,3685.45,55075,25,1362112760.0,551750.0,20575.0,NIFTY,OPTIDX,2024,8,NIFTY
2024-08-01,2024-08-29,CE,21000.0,4060.1,4108.4,3963.05,3987.95,3994.05,3987.95,9975,25,249542411.25,531175.0,125.0,NIFTY,OPTIDX,2024,8,NIFTY
2024-07-31,2024-08-29,CE,21000.0,3902.65,3995.0,3889.7,3970.05,3989.35,3970.05,11750,25,293304313.75,531050.0,3850.0,NIFTY,OPTIDX,2024,8,NIFTY
2024-07-30,2024-08-29,CE,21000.0,3863.8,3975.75,3856.85,3888.85,3882.95,3888.85,6000,25,149468466.25,527200.0,1625.0,NIFTY,OPTIDX,2024,8,NIFTY
2024-08-29,2024-08-29,PE,21000.0,0.1,0.2,0.05,0.1,0.05,25151.95,2242100,25,47084386978.75,1694650.0,-218200.0,NIFTY,OPTIDX,2024,8,NIFTY
2024-08-28,2024-08-29,PE,21000.0,0.4,0.7,0.15,0.25,0.15,0.25,1412400,25,29660937967.5,1912850.0,-248950.0,NIFTY,OPTIDX,2024,8,NIFTY
2024-08-27,2024-08-29,PE,21000.0,0.7,1.05,0.55,0.65,0.55,0.65,1137925,25,23897223723.75,2161800.0,-81775.0,NIFTY,OPTIDX,2024,8,NIFTY
2024-08-26,2024-08-29,PE,21000.0,1.4,1.5,0.75,1.2,1.15,1.2,2066200,25,43392311570.0,2243575.0,234775.0,NIFTY,OPTIDX,2024,8,NIFTY
2024-08-23,2024-08-29,PE,21000.0,0.95,1.8,0.8,1.5,1.4,1.5,2621550,25,55055837513.75,2008800.0,-419550.0,NIFTY,OPTIDX,2024,8,NIFTY
2024-08-22,2024-08-29,PE,21000.0,1.35,1.6,1.0,1.15,1.0,1.15,2139500,25,44932207940.0,2428350.0,616900.0,NIFTY,OPTIDX,2024,8,NIFTY
2024-08-21,2024-08-29,PE,21000.0,1.9,1.9,1.25,1.35,1.4,1.35,670400,25,14079431572.5,1811450.0,-35900.0,NIFTY,OPTIDX,2024,8,NIFTY
2024-08-20,2024-08-29,PE,21000.0,2.1,2.65,1.85,2.05,1.9,2.05,399000,25,8379931168.75,1847350.0,-1950.0,NIFTY,OPTIDX,2024,8,NIFTY
2024-08-19,2024-08-29,PE,21000.0,2.8,3.2,2.45,2.75,2.65,2.75,477825,25,10035638081.25,1849300.0,-35100.0,NIFTY,OPTIDX,2024,8,NIFTY
2024-08-16,2024-08-29,PE,21000.0,4.0,4.0,2.65,3.65,3.65,3.65,870975,25,18293249251.25,1884400.0,-46250.0,NIFTY,OPTIDX,2024,8,NIFTY
2024-08-14,2024-08-29,PE,21000.0,4.75,5.05,3.4,3.75,4.1,3.75,705875,25,14826246743.75,1930650.0,14125.0,NIFTY,OPTIDX,2024,8,NIFTY
2024-08-13,2024-08-29,PE,21000.0,5.8,5.95,4.75,5.05,4.75,5.05,438175,25,9203928511.25,1916525.0,73325.0,NIFTY,OPTIDX,2024,8,NIFTY
2024-08-12,2024-08-29,PE,21000.0,8.5,8.65,4.7,6.35,6.2,6.35,493375,25,10364244946.25,1843200.0,28000.0,NIFTY,OPTIDX,2024,8,NIFTY
