DATE,EXPIRY,OPTION TYPE,STRIKE PRICE,OPEN,HIGH,LOW,CLOSE,LTP,SETTLE PRICE,TOTAL TRADED QUANTITY,MARKET LOT,PREMIUM VALUE,OPEN INTEREST,CHANGE IN OI,SYMBOL,INSTRUMENT_TYPE,YEAR,MONTH,SYMBOL_NAME
2023-07-27,2023-07-27,CE,18000.0,1841.05,1869.3,1610.55,1644.05,1663.0,19659.9,212950,50,4201196900.0,168550.0,-75050.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-26,2023-07-27,CE,18000.0,1718.0,1825.0,1717.6,1775.2,1775.8,1775.2,95850,50,1897171410.0,243600.0,-75850.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-25,2023-07-27,CE,18000.0,1708.0,1720.05,1635.0,1689.6,1695.0,1689.6,85750,50,1688041150.0,319450.0,-55350.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-24,2023-07-27,CE,18000.0,1750.0,1801.75,1681.0,1692.7,1682.0,1692.7,67300,50,1329063425.0,374800.0,-48200.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-21,2023-07-27,CE,18000.0,1880.8,1890.9,1731.5,1765.8,1803.1,1765.8,56100,50,1111558025.0,423000.0,-36200.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-20,2023-07-27,CE,18000.0,1846.45,1977.35,1798.85,1965.35,1963.15,1965.35,95900,50,1909307242.5,459200.0,11400.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-19,2023-07-27,CE,18000.0,1790.45,1859.95,1745.05,1838.9,1859.95,1838.9,97800,50,1938247587.5,447800.0,14750.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-18,2023-07-27,CE,18000.0,1760.3,1826.5,1710.0,1764.7,1767.0,1764.7,38950,50,769956305.0,433050.0,-9800.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-17,2023-07-27,CE,18000.0,1610.0,1732.7,1595.35,1719.85,1724.85,1719.85,59000,50,1160460337.5,442850.0,-19900.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-14,2023-07-27,CE,18000.0,1500.0,1620.0,1475.0,1592.4,1620.0,1592.4,18950,50,370523702.5,462750.0,-5150.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-13,2023-07-27,CE,18000.0,1515.1,1607.85,1460.0,1474.75,1494.9,1474.75,27650,50,540187297.5,467900.0,-150.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-12,2023-07-27,CE,18000.0,1529.95,1529.95,1449.9,1461.75,1453.0,1461.75,20650,50,402608650.0,468050.0,-12150.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-11,2023-07-27,CE,18000.0,1480.0,1553.5,1480.0,1493.65,1508.55,1493.65,24300,50,474212602.5,480200.0,-7900.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-10,2023-07-27,CE,18000.0,1419.95,1472.0,1380.0,1398.55,1418.8,1398.55,19400,50,376689052.5,488100.0,-5450.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-07,2023-07-27,CE,18000.0,1470.0,1560.0,1375.05,1390.3,1382.55,1390.3,37950,50,738527117.5,493550.0,-550.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-06,2023-07-27,CE,18000.0,1460.0,1545.0,1450.0,1529.75,1527.4,1529.75,91250,50,1779879940.0,494100.0,16500.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-05,2023-07-27,CE,18000.0,1436.8,1484.45,1418.0,1464.75,1475.05,1464.75,63600,50,1237363340.0,477600.0,-18400.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-04,2023-07-27,CE,18000.0,1432.6,1505.05,1384.1,1457.0,1457.65,1457.0,44750,50,870576962.5,496000.0,-15650.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-03,2023-07-27,CE,18000.0,1305.0,1420.7,1303.15,1404.7,1412.55,1404.7,119350,50,2313934195.0,511650.0,-35650.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-06-30,2023-07-27,CE,18000.0,1114.25,1272.9,1114.25,1261.35,1272.45,1261.35,79550,50,1528503745.0,547300.0,14350.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-06-28,2023-07-27,CE,18000.0,976.25,1116.5,971.95,1079.6,1087.65,1079.6,339900,50,6482023180.0,532950.0,168750.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-06-27,2023-07-27,CE,18000.0,861.55,945.0,857.0,937.05,940.0,937.05,163950,50,3097667312.5,364200.0,44600.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-27,2023-07-27,PE,18000.0,0.4,0.55,0.05,0.15,0.1,19659.9,7725100,50,139054424330.0,1923700.0,-886350.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-26,2023-07-27,PE,18000.0,0.65,0.95,0.35,0.45,0.5,0.45,5175800,50,93167935900.0,2810050.0,-291600.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-25,2023-07-27,PE,18000.0,1.0,1.0,0.6,0.65,0.65,0.65,3859400,50,69472364785.0,3101650.0,-876200.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-24,2023-07-27,PE,18000.0,1.5,1.5,0.8,0.9,0.85,0.9,7994700,50,143913832690.0,3977850.0,-289250.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-21,2023-07-27,PE,18000.0,2.65,2.7,1.3,1.4,1.4,1.4,10548050,50,189882820290.0,4267100.0,-141550.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-20,2023-07-27,PE,18000.0,2.15,3.45,2.0,2.6,2.7,2.6,6597500,50,118772526687.5,4408650.0,2806750.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-19,2023-07-27,PE,18000.0,4.5,4.5,2.55,2.95,2.75,2.95,630400,50,11349237482.5,1601900.0,-11350.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-18,2023-07-27,PE,18000.0,4.6,6.6,3.2,3.5,3.2,3.5,714600,50,12866483785.0,1613250.0,-17300.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-17,2023-07-27,PE,18000.0,4.05,5.65,3.55,4.85,5.4,4.85,762400,50,13726449892.5,1630550.0,-96550.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-14,2023-07-27,PE,18000.0,3.3,4.45,3.3,4.1,4.4,4.1,803900,50,14473304897.5,1727100.0,-108750.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-13,2023-07-27,PE,18000.0,4.6,5.5,3.9,4.05,3.9,4.05,670000,50,12063124967.5,1835850.0,-57300.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-12,2023-07-27,PE,18000.0,5.45,5.75,4.65,5.0,5.2,5.0,586300,50,10556424262.5,1893150.0,-58700.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-11,2023-07-27,PE,18000.0,6.8,6.8,4.95,5.45,5.55,5.45,702050,50,12640822650.0,1951850.0,-171350.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-10,2023-07-27,PE,18000.0,8.0,8.95,6.1,6.45,6.35,6.45,911300,50,16409503820.0,2123200.0,-151700.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-07,2023-07-27,PE,18000.0,10.0,11.1,7.5,8.65,8.0,8.65,1934850,50,34843268472.5,2274900.0,-187350.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-06,2023-07-27,PE,18000.0,11.7,13.25,8.8,9.55,9.0,9.55,1991950,50,35874812632.5,2462250.0,-239350.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-05,2023-07-27,PE,18000.0,11.7,15.0,11.05,11.4,11.65,11.4,868650,50,15645972277.5,2701600.0,50.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-04,2023-07-27,PE,18000.0,14.45,15.0,11.55,12.1,11.7,12.1,1256050,50,22626106417.5,2701550.0,64050.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-03,2023-07-27,PE,18000.0,13.05,16.95,11.0,14.45,15.1,14.45,1900800,50,34243161150.0,2637500.0,-140100.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-06-30,2023-07-27,PE,18000.0,18.8,20.0,12.3,14.5,16.8,14.5,2770400,50,49907594195.0,2777600.0,105500.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-06-28,2023-07-27,PE,18000.0,26.0,26.1,18.45,20.0,18.85,20.0,2972600,50,53574708010.0,2672100.0,191300.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-06-27,2023-07-27,PE,18000.0,40.0,40.0,25.35,26.55,26.0,26.55,2022250,50,36465960665.0,2480800.0,99150.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-27,2023-07-27,CE,19000.0,840.05,871.25,600.0,650.35,661.5,19659.9,498150,50,9824730932.5,714550.0,-179050.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-26,2023-07-27,CE,19000.0,714.25,825.0,711.0,772.3,773.85,772.3,299100,50,5918424097.5,893600.0,-75100.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-25,2023-07-27,CE,19000.0,725.0,744.35,634.3,691.0,694.2,691.0,283600,50,5583149550.0,968700.0,-57950.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-24,2023-07-27,CE,19000.0,750.0,804.1,678.0,693.5,682.9,693.5,376600,50,7435670382.5,1026650.0,-115200.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-21,2023-07-27,CE,19000.0,868.0,905.6,735.0,791.4,810.0,791.4,461000,50,9142128572.5,1141850.0,-90400.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-20,2023-07-27,CE,19000.0,840.2,985.2,803.7,973.8,945.0,973.8,307700,50,6125083980.0,1232250.0,-43850.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-19,2023-07-27,CE,19000.0,803.7,875.8,758.05,849.2,875.8,849.2,210700,50,4174526572.5,1276100.0,-15500.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-18,2023-07-27,CE,19000.0,775.0,840.6,725.15,778.95,777.3,778.95,374000,50,7396146917.5,1291600.0,23650.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-17,2023-07-27,CE,19000.0,614.0,752.4,611.75,736.0,743.35,736.0,373800,50,7359201907.5,1267950.0,-90900.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-14,2023-07-27,CE,19000.0,542.05,638.6,500.0,613.35,637.4,613.35,319950,50,6258111877.5,1358850.0,-40800.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-13,2023-07-27,CE,19000.0,555.0,632.95,480.0,498.4,520.0,498.4,454400,50,8889795695.0,1399650.0,-60600.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-12,2023-07-27,CE,19000.0,559.95,571.6,483.0,491.95,491.5,491.95,273700,50,5342894812.5,1460250.0,-30600.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-11,2023-07-27,CE,19000.0,503.15,587.0,495.0,532.0,545.6,532.0,361700,50,7071195640.0,1490850.0,-1550.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-10,2023-07-27,CE,19000.0,500.0,524.55,436.75,454.15,468.0,454.15,514250,50,10015084265.0,1492400.0,-124400.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-07,2023-07-27,CE,19000.0,534.0,614.05,447.2,463.9,452.4,463.9,860850,50,16801479707.5,1616800.0,-117400.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-06,2023-07-27,CE,19000.0,515.15,603.2,513.85,586.4,584.1,586.4,647150,50,12663644702.5,1734200.0,-105800.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-05,2023-07-27,CE,19000.0,527.0,552.75,492.9,537.3,543.0,537.3,592600,50,11571110132.5,1840000.0,-22800.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-04,2023-07-27,CE,19000.0,472.75,567.8,463.85,528.75,525.0,528.75,865300,50,16891780297.5,1862800.0,-74400.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-03,2023-07-27,CE,19000.0,400.0,499.2,397.9,482.55,490.2,482.55,2004050,50,39014741800.0,1937200.0,-465350.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-06-30,2023-07-27,CE,19000.0,300.0,388.1,280.5,367.9,375.15,367.9,3307100,50,63928543715.0,2402550.0,-12300.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-06-28,2023-07-27,CE,19000.0,199.0,284.5,185.95,252.65,255.6,252.65,4481000,50,86251599985.0,2414850.0,342600.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-06-27,2023-07-27,CE,19000.0,150.0,177.95,142.0,172.65,177.85,172.65,2020650,50,38708402795.0,2072250.0,164600.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-27,2023-07-27,PE,19000.0,0.65,0.8,0.05,0.1,0.05,19659.9,42515200,50,807807710315.0,5068650.0,-1856100.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-26,2023-07-27,PE,19000.0,1.2,1.7,0.65,0.8,0.65,0.8,36308650,50,689909244147.5,6924750.0,-1010750.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-25,2023-07-27,PE,19000.0,2.35,2.35,1.05,1.25,1.1,1.25,23403350,50,444706744597.5,7935500.0,-229100.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-24,2023-07-27,PE,19000.0,5.35,5.35,2.1,2.45,2.5,2.45,34988050,50,664885003310.0,8164600.0,39300.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-21,2023-07-27,PE,19000.0,8.05,8.85,3.8,4.7,4.1,4.7,43844100,50,833293626255.0,8125300.0,843950.0,NIFTY,OPTIDX,2023,7,NIFTY
2023-07-20,2023-07-27,PE,19000.0,8.2,9.95,6.0,6.6,6.65,6.6,12993800,50,246973375917.5,7281350.0,2075350.0,NIFTY,OPTIDX,2023,7,NIFTY
