DATE,EXPIRY,OPTION TYPE,STRIKE PRICE,OPEN,HIGH,LOW,CLOSE,LTP,SETTLE PRICE,TOTAL TRADED QUANTITY,MARKET LOT,PREMIUM VALUE,OPEN INTEREST,CHANGE IN OI,SYMBOL,INSTRUMENT_TYPE,YEAR,MONTH,SYMBOL_NAME
2023-08-31,2023-08-31,CE,18000.0,1355.0,1380.9,1240.2,1251.9,1249.85,19253.8,293750,50,5667881312.5,227800.0,-126400.0,NIFTY,OPTIDX,2023,8,NIFTY
2023-08-30,2023-08-31,CE,18000.0,1406.0,1442.0,1335.0,1346.8,1341.35,1346.8,140700,50,2729592195.0,354200.0,-85350.0,NIFTY,OPTIDX,2023,8,NIFTY
2023-08-29,2023-08-31,CE,18000.0,1354.05,1366.5,1309.55,1338.4,1347.85,1338.4,98200,50,1899219647.5,439550.0,6950.0,NIFTY,OPTIDX,2023,8,NIFTY
2023-08-28,2023-08-31,CE,18000.0,1301.8,1356.35,1256.65,1318.65,1313.5,1318.65,225450,50,4354203350.0,432600.0,-7050.0,NIFTY,OPTIDX,2023,8,NIFTY
2023-08-25,2023-08-31,CE,18000.0,1300.05,1328.3,1222.7,1245.95,1222.7,1245.95,174250,50,3359020815.0,439650.0,-58100.0,NIFTY,OPTIDX,2023,8,NIFTY
2023-08-24,2023-08-31,CE,18000.0,1500.0,1570.6,1376.5,1388.3,1391.55,1388.3,63200,50,1229108972.5,497750.0,-22700.0,NIFTY,OPTIDX,2023,8,NIFTY
2023-08-23,2023-08-31,CE,18000.0,1387.85,1448.95,1355.15,1426.35,1432.3,1426.35,28850,50,559910132.5,520450.0,1650.0,NIFTY,OPTIDX,2023,8,NIFTY
2023-08-22,2023-08-31,CE,18000.0,1407.7,1423.1,1362.4,1382.4,1383.65,1382.4,26900,50,521972717.5,518800.0,-7300.0,NIFTY,OPTIDX,2023,8,NIFTY
2023-08-21,2023-08-31,CE,18000.0,1352.5,1425.6,1320.0,1394.8,1393.75,1394.8,68100,50,1319330847.5,526100.0,-30900.0,NIFTY,OPTIDX,2023,8,NIFTY
2023-08-18,2023-08-31,CE,18000.0,1307.2,1374.45,1274.4,1321.45,1311.2,1321.45,55300,50,1068332100.0,557000.0,-9350.0,NIFTY,OPTIDX,2023,8,NIFTY
2023-08-17,2023-08-31,CE,18000.0,1447.3,1461.0,1366.0,1389.45,1382.75,1389.45,54950,50,1065986170.0,566350.0,4000.0,NIFTY,OPTIDX,2023,8,NIFTY
2023-08-16,2023-08-31,CE,18000.0,1375.05,1498.0,1370.0,1473.7,1462.35,1473.7,29950,50,581682360.0,562350.0,1150.0,NIFTY,OPTIDX,2023,8,NIFTY
2023-08-14,2023-08-31,CE,18000.0,1400.0,1495.2,1320.0,1476.55,1475.25,1476.55,40700,50,788652442.5,561200.0,-9750.0,NIFTY,OPTIDX,2023,8,NIFTY
2023-08-11,2023-08-31,CE,18000.0,1560.05,1560.05,1488.9,1504.45,1500.7,1504.45,55450,50,1082294685.0,570950.0,-2150.0,NIFTY,OPTIDX,2023,8,NIFTY
2023-08-10,2023-08-31,CE,18000.0,1632.95,1656.0,1534.35,1595.4,1590.15,1595.4,32750,50,641402890.0,573100.0,-2350.0,NIFTY,OPTIDX,2023,8,NIFTY
2023-08-09,2023-08-31,CE,18000.0,1559.0,1685.75,1504.35,1674.9,1679.15,1674.9,24000,50,469372412.5,575450.0,-100.0,NIFTY,OPTIDX,2023,8,NIFTY
2023-08-08,2023-08-31,CE,18000.0,1649.75,1650.2,1579.5,1598.9,1601.0,1598.9,8450,50,165721427.5,575550.0,-2850.0,NIFTY,OPTIDX,2023,8,NIFTY
2023-08-07,2023-08-31,CE,18000.0,1612.35,1672.15,1580.0,1648.05,1649.9,1648.05,9200,50,180625530.0,578400.0,-2700.0,NIFTY,OPTIDX,2023,8,NIFTY
2023-08-04,2023-08-31,CE,18000.0,1500.0,1580.0,1484.1,1563.35,1567.7,1563.35,46250,50,904204017.5,581100.0,16950.0,NIFTY,OPTIDX,2023,8,NIFTY
2023-08-03,2023-08-31,CE,18000.0,1510.0,1581.65,1384.05,1468.6,1460.1,1468.6,80000,50,1557708345.0,564150.0,-33650.0,NIFTY,OPTIDX,2023,8,NIFTY
